place_id,name,locality,rating,user_ratings_total,cuisines,primary_category
ChIJVVX0YdHA5zsRJfQzEdEouFc,Pizza Caprina,Kopar Khairne,3.7,21.0,"Restaurant, Takeaway",Restaurant (General)
ChIJXRCIQwjB5zsRWvvhr0z8kqc,White house,Kopar Khairne,4.8,10.0,"Bakery, Food Store",Bakery
ChIJo34Q2i_B5zsRN6I1F1N0MN0,Monginis Cake Shop,Kopar Khairne,4.8,515.0,"Bakery, Confectionery, Dessert, Dessert Restaurant, Food Store, Restaurant, Wholesaler",Bakery
ChIJby65gi_B5zsR-hmio5qEcOE,Baker's Treat,Kopar Khairne,4.2,1109.0,"Bakery, Food Store",Bakery
ChIJo4wzJtjA5zsRQqEnh7jKpQU,Monginis Cake Shop,Kopar Khairne,3.6,120.0,"Bakery, Confectionery, Dessert, Dessert Restaurant, Food Store, Restaurant, Wholesaler",Bakery
ChIJH0fm7hzB5zsR1EU0J3cJBjs,Kravings,Kopar Khairne,4.9,42.0,"Bakery, Food Store",Bakery
ChIJP4PPwSDB5zsRtRw7u83psyA,Madina Bakery,Kopar Khairne,4.2,124.0,"Bakery, Food Store",Bakery
ChIJQ4j4UoPB5zsRpHSiU7Paw4E,"Forever Cakes | Cake Shop And Bakery - Vashi, Navi Mumbai",Kopar Khairne,4.9,303.0,"Bakery, Confectionery, Dessert, Food Store, Wholesaler",Bakery
ChIJv_sagdnA5zsRMoO4MWynd0c,U2 cake,Kopar Khairne,4.3,35.0,"Bakery, Confectionery, Dessert, Food Store, Home Goods Store, Wholesaler",Bakery
ChIJOYZCAYrB5zsR_H-OHAgd1YA,FlowerAura - Cake Shop in Mumbai,Kopar Khairne,4.6,149.0,"Bakery, Florist, Food Store, Wholesaler",Bakery
ChIJxaJEryfB5zsRCoceuLQ4Jec,Banglore Iyengar Bakery,Kopar Khairne,4.2,326.0,"Bakery, Food Store",Bakery
ChIJ810_hNfA5zsR3b5od2WhOe0,Fresh Cakes N Breads Live Bakery,Kopar Khairne,4.3,140.0,"Bakery, Food Store, Wholesaler",Bakery
ChIJl6rYVCG75zsR3Jv9tP18SQs,Prasad Food Divine,Apna Bazar,4.7,10463.0,"Restaurant, Vegetarian Restaurant",Restaurant (General)
ChIJr60cfdC75zsRvvilvmtyPw4,The DanSing Bottle,Apna Bazar,4.0,3545.0,"Bar, Restaurant",Restaurant (General)
ChIJJRUHBsy55zsRH1nGU2tVvSU,Santosham - Authentic South Indian Restaurant,Apna Bazar,4.2,1218.0,"Fast Food Restaurant, Restaurant",Fast Food
ChIJS9cUNVu55zsRzPjkeC0FEx0,The Orange Mint Lounge - Thane,Apna Bazar,4.1,3258.0,"Bar, Chinese, Italian, Night Club, Restaurant",Chinese
ChIJbavfH9675zsRly5U6O0Ubas,27 Yard Restaurant,Apna Bazar,4.1,5055.0,"Chinese, Indian, Italian, Mexican Restaurant, Restaurant, Vegetarian Restaurant",Indian
ChIJ33rVbwC75zsRVM24tynfYqc,Bombay Irani Cafe,Apna Bazar,4.2,2364.0,Restaurant,Restaurant (General)
ChIJO7imxV-_5zsRx2EUvv6EMR0,Katsutori,Apna Bazar,4.4,349.0,"Japanese Restaurant, Restaurant",Japanese
ChIJfxcSfiG55zsRaWJQKdr0AGU,PINK MARTINI By Punjab Mail,Apna Bazar,4.7,3053.0,"Indian, Restaurant",Indian
ChIJN50bJQC55zsRX57Zs6brC1A,Hotel La Dahlia,Apna Bazar,4.3,95.0,"Bed And Breakfast, Hotel, Lodging, Restaurant",Restaurant (General)
ChIJu3nLpEK55zsRC3k__PWRiHc,China Bistro Thane,Apna Bazar,4.3,4456.0,"Asian Restaurant, Buffet Restaurant, Chinese, Restaurant",Chinese
ChIJ_XRDt0W55zsRpPizZk08k_w,McDonald's,Apna Bazar,4.3,6565.0,"Breakfast, Cafe, Coffee, Confectionery, Delivery, Dessert, Fast Food Restaurant, Food Delivery, Food Store, Restaurant",Cafe
ChIJqwtqHVG75zsRSVMRcK-KqtY,The Food Studio,Apna Bazar,4.5,1990.0,"Indian, Restaurant",Indian
ChIJhX-6Yg275zsRrh7vnTQinrA,Bhagat Tarachand,Apna Bazar,3.8,895.0,"Indian, Restaurant",Indian
ChIJ6Q6kb0255zsRqX1SGNvqH00,Cream Centre | Majiwada | Thane,Apna Bazar,4.5,1281.0,Restaurant,Restaurant (General)
ChIJU6W5DaS55zsR-mZ-2lI7gCI,KOGO,Apna Bazar,4.1,492.0,"Japanese Restaurant, Korean Restaurant, Restaurant, Tea",Japanese
ChIJuZrp1-e75zsRQB3xX_0_N9M,Praying Soul,Apna Bazar,4.2,240.0,"Cafe, Condominium Complex",Cafe
ChIJXQdvRKO75zsRXAms-q-vKdU,Blue Tokai Coffee Roasters | Acme Ozone,Apna Bazar,4.5,222.0,"Cafe, Coffee, Food Store",Cafe
ChIJkeI0awC75zsRPtnQGLJEiQA,"Common grounds - Coffee, Social, Pickleball and Padel",Apna Bazar,4.6,67.0,"Athletic Field, Cafe, Sports Activity Location",Cafe
ChIJCeUoig655zsRxZ4XPQkJFEg,Starbucks Hiranandani Meadows,Apna Bazar,4.3,803.0,"Cafe, Coffee, Food Store",Cafe
ChIJzQ5PFzy55zsR0xSVqtMaEz8,Cafe Anecdote,Apna Bazar,4.3,221.0,"Cafe, Coffee, Food Store, Library",Cafe
ChIJbdLDFD275zsR-4H5eKwhu2E,"The Happyy Cup Cafe, Thane",Apna Bazar,4.6,403.0,Cafe,Cafe
ChIJW5Y03KC55zsRwlyScNqAGUs,Brunch Bar Cafe,Apna Bazar,4.0,1017.0,Cafe,Cafe
ChIJYWPaYtW75zsR7ERDDLO7Sr8,Mahabi Cafe Patisserie Gelato,Apna Bazar,4.5,220.0,"Bakery, Cafe, Coffee, Confectionery, Dessert, Food Store, Ice Cream, Wholesaler",Cafe
ChIJORecxXG55zsRi0eQvt4yxSc,Bean Theory Coffee,Apna Bazar,4.4,182.0,"Cafe, Coffee, Food Store",Cafe
ChIJJTKEJF655zsRB58Vx8QGGh4,Café Coffee Day,Apna Bazar,4.0,1089.0,"Bakery, Cafe, Coffee, Confectionery, Dessert, Food Store, Restaurant, Sandwich, Takeaway",Cafe
ChIJTbyTFOGx5zsR4sIJ8OwhF-c,Teapsy Cafe,Apna Bazar,4.4,159.0,Cafe,Cafe
ChIJLbkoFV655zsRDtq0jP6inTM,D’Crêpes Cafe,Apna Bazar,4.4,3261.0,"Cafe, Confectionery, Dessert, Food Store, Restaurant",Cafe
ChIJn0UmFum55zsRj8wsx0IlU4A,Toasties Deli,Apna Bazar,4.6,87.0,"Cafe, Deli, Food Store, Hotel, Lodging, Restaurant",Cafe
ChIJx3wYml655zsRo963vSpd5j8,The Belgian Waffle Co,Apna Bazar,4.1,863.0,"Bakery, Cafe, Confectionery, Dessert, Dessert Restaurant, Food Store, Ice Cream, Restaurant, Wholesaler",Cafe
ChIJ5UYmU4K55zsRTgp3I1IS3zE,"Theobroma Bakery and Cake Shop - Thane West-Meadows, Thane",Apna Bazar,4.4,196.0,"Bakery, Cafe, Confectionery, Dessert, Food Store, Wholesaler",Cafe
ChIJO7boA0O55zsRrz6YsA0PPxQ,Burger King,Apna Bazar,4.3,1759.0,"Fast Food Restaurant, Food Court, Restaurant, Takeaway",Fast Food
ChIJsQKlNby55zsRd7ItCymDybs,GOOD FLIPPIN' BURGERS,Apna Bazar,4.6,1093.0,"American Restaurant, Fast Food Restaurant, Hamburger Restaurant, Restaurant, Takeaway",Burger
ChIJGW5_ciHP5zsRQuZsQ4zoILw,"Pizza Hut | Cinewonder, Thane, Mumbai",Apna Bazar,4.4,2161.0,"Delivery, Food Delivery, Italian, Pizza, Restaurant, Takeaway",Italian
ChIJwbWi42q55zsRGdWW_rBq3lA,abcoffee Thane,Apna Bazar,4.6,142.0,"Bakery, Cafe, Coffee, Confectionery, Food Store, Restaurant, Takeaway",Cafe
ChIJe5LpHkW55zsRucothF43xj4,"Domino’s Pizza | Kailash Nagar, Thane",Apna Bazar,3.5,256.0,"Delivery, Food Delivery, Italian, Pizza, Restaurant, Takeaway",Italian
ChIJV0YQ45y55zsREo45fM_fU0c,Kerala Oottupura ( Cloud Kitchen),Apna Bazar,4.0,425.0,"Catering Service, Food Delivery, Indian, Restaurant, Takeaway",Indian
ChIJSe-PPV-55zsR-zQtLqDPqW0,"Domino's Pizza | Manpada Thane West, Thane",Apna Bazar,3.6,1217.0,"Delivery, Food Delivery, Italian, Pizza, Restaurant, Takeaway",Italian
